@RELATION LID

@ATTRIBUTE zeroCross_FP1 NUMERIC
@ATTRIBUTE zeroCross_FP2 NUMERIC
@ATTRIBUTE zeroCross_F3 NUMERIC
@ATTRIBUTE zeroCross_F4 NUMERIC
@ATTRIBUTE zeroCross_C3 NUMERIC
@ATTRIBUTE zeroCross_C4 NUMERIC
@ATTRIBUTE zeroCross_P3 NUMERIC
@ATTRIBUTE zeroCross_P4 NUMERIC
@ATTRIBUTE zeroCross_O1 NUMERIC
@ATTRIBUTE zeroCross_O2 NUMERIC
@ATTRIBUTE zeroCross_F7 NUMERIC
@ATTRIBUTE zeroCross_F8 NUMERIC
@ATTRIBUTE zeroCross_T3 NUMERIC
@ATTRIBUTE zeroCross_T4 NUMERIC
@ATTRIBUTE zeroCross_T5 NUMERIC
@ATTRIBUTE zeroCross_T6 NUMERIC
@ATTRIBUTE zeroCross_FZ NUMERIC
@ATTRIBUTE zeroCross_CZ NUMERIC
@ATTRIBUTE zeroCross_PZ NUMERIC
@ATTRIBUTE HjorthMobility_FP1 NUMERIC
@ATTRIBUTE HjorthMobility_FP2 NUMERIC
@ATTRIBUTE HjorthMobility_F3 NUMERIC
@ATTRIBUTE HjorthMobility_F4 NUMERIC
@ATTRIBUTE HjorthMobility_C3 NUMERIC
@ATTRIBUTE HjorthMobility_C4 NUMERIC
@ATTRIBUTE HjorthMobility_P3 NUMERIC
@ATTRIBUTE HjorthMobility_P4 NUMERIC
@ATTRIBUTE HjorthMobility_O1 NUMERIC
@ATTRIBUTE HjorthMobility_O2 NUMERIC
@ATTRIBUTE HjorthMobility_F7 NUMERIC
@ATTRIBUTE HjorthMobility_F8 NUMERIC
@ATTRIBUTE HjorthMobility_T3 NUMERIC
@ATTRIBUTE HjorthMobility_T4 NUMERIC
@ATTRIBUTE HjorthMobility_T5 NUMERIC
@ATTRIBUTE HjorthMobility_T6 NUMERIC
@ATTRIBUTE HjorthMobility_FZ NUMERIC
@ATTRIBUTE HjorthMobility_CZ NUMERIC
@ATTRIBUTE HjorthMobility_PZ NUMERIC
@ATTRIBUTE HjorthComplexity_FP1 NUMERIC
@ATTRIBUTE HjorthComplexity_FP2 NUMERIC
@ATTRIBUTE HjorthComplexity_F3 NUMERIC
@ATTRIBUTE HjorthComplexity_F4 NUMERIC
@ATTRIBUTE HjorthComplexity_C3 NUMERIC
@ATTRIBUTE HjorthComplexity_C4 NUMERIC
@ATTRIBUTE HjorthComplexity_P3 NUMERIC
@ATTRIBUTE HjorthComplexity_P4 NUMERIC
@ATTRIBUTE HjorthComplexity_O1 NUMERIC
@ATTRIBUTE HjorthComplexity_O2 NUMERIC
@ATTRIBUTE HjorthComplexity_F7 NUMERIC
@ATTRIBUTE HjorthComplexity_F8 NUMERIC
@ATTRIBUTE HjorthComplexity_T3 NUMERIC
@ATTRIBUTE HjorthComplexity_T4 NUMERIC
@ATTRIBUTE HjorthComplexity_T5 NUMERIC
@ATTRIBUTE HjorthComplexity_T6 NUMERIC
@ATTRIBUTE HjorthComplexity_FZ NUMERIC
@ATTRIBUTE HjorthComplexity_CZ NUMERIC
@ATTRIBUTE HjorthComplexity_PZ NUMERIC
@ATTRIBUTE HurstExponent_FP1 NUMERIC
@ATTRIBUTE HurstExponent_FP2 NUMERIC
@ATTRIBUTE HurstExponent_F3 NUMERIC
@ATTRIBUTE HurstExponent_F4 NUMERIC
@ATTRIBUTE HurstExponent_C3 NUMERIC
@ATTRIBUTE HurstExponent_C4 NUMERIC
@ATTRIBUTE HurstExponent_P3 NUMERIC
@ATTRIBUTE HurstExponent_P4 NUMERIC
@ATTRIBUTE HurstExponent_O1 NUMERIC
@ATTRIBUTE HurstExponent_O2 NUMERIC
@ATTRIBUTE HurstExponent_F7 NUMERIC
@ATTRIBUTE HurstExponent_F8 NUMERIC
@ATTRIBUTE HurstExponent_T3 NUMERIC
@ATTRIBUTE HurstExponent_T4 NUMERIC
@ATTRIBUTE HurstExponent_T5 NUMERIC
@ATTRIBUTE HurstExponent_T6 NUMERIC
@ATTRIBUTE HurstExponent_FZ NUMERIC
@ATTRIBUTE HurstExponent_CZ NUMERIC
@ATTRIBUTE HurstExponent_PZ NUMERIC
@ATTRIBUTE class {1 2}

@DATA
98,34,145,138,102,99,15,104,133,52,104,36,116,99,122,100,62,78,112,0.636368179435297,0.282364742317537,0.917796655137237,0.796232228112788,0.670901141129361,0.645585673021561,0.302177751255292,0.650230268583395,0.746651688517984,0.460052235998933,0.718614899316087,0.244173238689740,0.769432593505860,0.451939235539741,0.739798095332300,0.606339083445076,0.426376418800633,0.448740741489877,0.740917484153114,0.896719928501996,1.24551245191125,0.972537695152015,0.957322629104685,0.705003509136362,0.729503908668169,0.885938279608694,0.845201869114300,1.12793624932882,1.23308471326255,1.22932864011328,1.27007959829734,1.14262831460720,0.633109814037473,0.921966772870480,1.06326660058409,0.898552624187939,0.841574113439178,0.865348974603977,0.840526709997283,1.01937583740970,0.680159480905035,0.704620596434466,0.639151865177512,0.624863399789858,0.757732979339474,0.630506329501071,0.853696491306572,0.913662851432736,0.768554658805670,1.05391935745053,0.898222168372395,0.470198898631917,0.691999354166598,0.935759310796319,0.922481833916425,0.852567883483237,0.667069116739648,1
64,130,25,22,28,28,58,104,52,119,122,79,47,99,107,106,95,12,32,0.481258967152473,0.776337124028972,0.419142022689689,0.247573730841180,0.379823717054822,0.354743419945962,0.416399575015549,0.651789936411389,0.425845136042792,0.654962925252430,0.770332150646297,0.591110350975003,0.468532406691822,0.617576517838429,0.711440991835924,0.639110633503489,0.544496415223590,0.201030342918416,0.385366257060134,1.10854962113438,1.08812883659090,1.33151744892080,1.32381229891830,0.968104101230404,0.972270183223307,0.936176380934632,0.967948660141577,1.32030027941191,1.17307369314925,1.22966546465946,1.25219230182318,1.36747031832950,0.605006810720403,1.08566724456858,1.13517657525379,0.933266890365534,0.984645681414616,1.10172350968972,0.717362124179403,0.789220894981408,0.888338164406947,1.04795612664029,0.883230684714954,0.886988855197137,0.869521484392619,0.810536700081077,1.00720203436006,0.906533227303927,0.753342855718062,0.996711791714360,1.09922505978361,0.415644731853758,0.788570414385907,0.890308111402623,0.837764239592885,0.991167670452380,0.940744372315730,2
44,0,145,129,85,79,6,66,8,0,131,0,138,86,62,2,0,2,30,0.400548108576515,0.118814308261004,0.914409121650787,0.810187157173958,0.520385183804186,0.470898120444270,0.282690803532214,0.420227892939483,0.244893067981897,0.140604837306361,0.801291911063447,0.117360143089118,0.890033873614292,0.396461979563171,0.516649517201409,0.122917408648048,0.179499577917567,0.156309252953690,0.358781038188986,0.994842109752440,1.27079479724499,1.00276119943401,0.987861731515731,0.781375543954456,0.797247053860796,0.873547530801430,0.939581542095236,1.34046637207293,1.31737402786309,1.13300970410820,1.32413702710949,1.10019609115960,0.657196393119643,1.09888547645308,1.17924917773340,1.02445798094011,0.950061971310733,1.06713390202442,0.618471059590972,1.01628258311733,0.561913926294464,0.679671577928529,0.777717517700151,0.787317945841937,0.638493131004387,0.885736516605055,0.979966587062654,1.05657115933294,0.890784789850695,0.835563957543650,0.794043146241412,0.379157281859563,0.822108005529008,1.06456120824690,0.834870566790623,1.00399588779444,0.860251480756311,1
32,107,144,0,71,69,0,87,0,59,0,23,3,100,121,79,14,0,0,0.283470859099403,0.664724976951800,0.837756816557684,0.213015576462948,0.464412281460632,0.458952722167854,0.238221716032002,0.560932234832615,0.182360041556581,0.517395769754781,0.375997053632400,0.257938859559191,0.286458102630284,0.644958222266192,0.751897122722646,0.530591206339229,0.298931216102910,0.107207178024742,0.220346315332920,1.18946787698804,1.13464958827049,1.10623254063258,1.38441322122991,0.918716057139057,0.936206065731703,0.998698090437121,1.00745456671371,1.36165669923473,1.23125529039577,1.44326019657439,1.32532977373534,1.43006898580637,0.595621076371337,1.05988940811415,1.16025376217577,1.04145480497585,1.05040342396890,1.13319360506490,0.955874910266922,0.862782954703475,0.905613708322307,0.910446396784334,0.955854450175815,0.959563006624755,0.814086044803520,0.734447700726108,0.811785043497382,0.946694426710849,0.863747036355641,1.08855772201770,1.03287704680753,0.589789844966933,0.823273674191786,0.841577303289810,0.874457069246097,0.991603385353066,0.747335483417638,2
90,0,38,0,0,0,41,0,0,0,2,0,0,100,0,0,0,0,66,0.563823343965928,0.0817527868742684,0.521044143670840,0.178131561197526,0.162096884627367,0.152802453154491,0.317867743491634,0.160953716205186,0.256951536653690,0.0872099271443379,0.282973353692268,0.0766015998591278,0.308468946663280,0.541332534485098,0.255769600018929,0.0713985623573966,0.232524535977080,0.158746773563137,0.425467340711089,0.933904868016119,1.27155901386036,1.25545172942378,1.27888058858241,0.973374784421326,0.974716435250700,0.854061080495074,1.03779598802285,1.32710549668554,1.37518962060014,1.35773638771018,1.33783984485048,1.35340676136619,0.558095276433006,1.16071314517790,1.27341487387658,0.976798717562968,0.953818504281973,1.03356675594078,0.787332414193557,0.941784528759907,0.546631858267004,0.957855430100485,0.755740653585122,0.766311048283739,0.852699632418539,0.592525336935776,0.890085522971058,0.774371382695254,0.911107995062078,0.824797577849612,0.943378607988452,0.349406360885680,0.618184784381198,0.982991909399241,0.805808965058954,0.843405068411835,0.836386049255164,1
2,12,14,0,105,99,101,115,135,0,0,57,6,48,4,0,78,0,31,0.276878086986630,0.286241822772022,0.384583138938296,0.186821476975700,0.625889263872135,0.610913205511742,0.657961163295655,0.692125335980772,0.804100773810017,0.196799776450556,0.249604356407533,0.473761427715969,0.334264498638757,0.357974380430183,0.282131548968222,0.0676532897322114,0.510535101414145,0.0734276413485533,0.374954905426861,1.22421618399805,1.31819398100929,1.35221200043908,1.38119314999844,0.892439903962249,0.921990389320174,0.820452800960923,0.929363496078685,1.14706165466593,1.33632555695461,1.42506918207073,1.31746861550347,1.43795011963367,0.844418237050211,1.27011230108606,1.34061150771383,1.01957463113254,1.20747831947007,1.11318270848781,0.716983237577347,0.940022796728879,0.626733474985681,0.904571067531962,0.810069099133817,0.805185087325221,0.703816297749581,0.774896733154353,0.741115819887714,0.909673453072357,0.713709929758398,1.00818091594844,0.933554490661519,0.517213670077389,0.745659115787754,1.06706145700457,0.867716098186061,0.852414016009529,0.767226185052891,2
34,0,127,0,0,0,0,0,2,0,0,0,85,99,0,0,0,18,100,0.380919768335094,0.0720406533152414,0.746201006361807,0.194751227852665,0.139649653958199,0.134641956919571,0.130608470079779,0.146504508780123,0.308038351814084,0.0874685527964953,0.200423881285730,0.0833641815836011,0.628145205370453,0.503298031131446,0.180190286550744,0.0856020158652871,0.240875351512186,0.280025752130230,0.663535472184684,0.990928264775543,1.30819129196340,1.09411489176406,1.24541956050729,0.996885891910714,1.01626329188776,0.913947757084244,1.04221763068979,1.29208994995358,1.31646830016146,1.36988098910371,1.31091063729884,1.22762799493030,0.615429516583137,1.15685844943098,1.27662452944006,0.948761413568588,0.915238497777056,0.875243060065523,0.757499759951803,0.912312644047196,0.807772881684468,0.945771705699514,0.509078277441616,0.507460183835890,0.940982673150124,0.538198524081604,0.732064271208696,0.718283084814992,0.688860679717416,1.00129932919439,0.905462872030300,0.464107204684414,0.689322140752070,1.03758494599882,0.559667363185233,0.842036286264445,0.754571291086555,1
0,0,0,0,50,52,105,102,28,0,0,40,6,0,0,0,27,0,10,0.161966352290377,0.142379847091668,0.246787290088932,0.182189609034124,0.436212179944112,0.400971787363218,0.655349660197556,0.618913578085927,0.384573514102275,0.171747532492141,0.250483482783196,0.320332265043912,0.435401989790736,0.286650224257198,0.232344239631923,0.0676430986467939,0.286867293869247,0.0788838975298187,0.353177130573158,1.21801958108567,1.32324607296186,1.37367952893265,1.38821165851218,0.995813683687910,1.00971260855595,0.783762827519074,0.967552400583499,1.33953816596660,1.30859437267003,1.43671351644465,1.38610784881513,1.35864484599847,0.861258347805685,1.24965165204934,1.32220334340020,1.09836203650533,1.13351222869272,1.11087262517903,0.979772645444285,1.00733377886737,0.825358713809817,0.964827527118457,0.691174571346203,0.700661357673646,0.612158793695381,0.718108973918265,0.912650777110647,0.807266606674252,0.900258626161456,1.04329566725396,0.605502603203998,0.523958051229464,0.535560661624687,0.940498941966801,0.991353723487623,0.958745738540655,0.637585605894960,2
0,0,118,0,0,0,0,0,38,0,0,0,0,99,0,18,97,63,0,0.148516322185564,0.0736369243331153,0.795137640446781,0.168515056607736,0.145961355752438,0.136800614246649,0.0782433163829955,0.208882419332580,0.413531392655788,0.129720694143550,0.130388400921187,0.160593587571535,0.145967531150988,0.473400247787832,0.248626547413871,0.224346230888393,0.654135821855929,0.414912080942235,0.144401948163177,1.00102140017304,1.37074568050884,1.03576798288099,1.27051785381174,0.984305462655535,0.983267612296805,1.08547362414773,1.08107696331029,1.28437981152319,1.35726029682369,1.34969857705900,1.33794846225857,1.38717310823085,0.630717304806578,1.17563265373677,1.19859056785150,0.725170870818194,0.821554823445506,1.09784976009044,0.819586486819773,0.759515180441906,0.713363344023538,0.821296626198900,0.436721579591852,0.386353319181573,0.750306483994230,0.746575813875492,0.832478665678605,0.928638840885899,0.507631772314370,0.891072390418602,0.961603125730742,0.312804759729252,0.779715627576158,0.994621267933224,0.638047629422688,0.850920213301358,0.777229307188143,1
0,0,0,0,0,0,0,76,117,0,0,0,151,0,0,0,0,0,10,0.109067253945027,0.0754398314872425,0.186203936545168,0.132957678321740,0.256564819375365,0.237126343734959,0.0977733619013519,0.513319963850661,0.839220612486960,0.196192153235306,0.299407495126811,0.150778101402442,1.04361275311425,0.250194252385155,0.134468344336773,0.0791893341299334,0.102486094945291,0.130067484146479,0.313363736636526,1.25462101878671,1.34888798605419,1.38397714178526,1.36699738373352,1.02164166330303,1.02466544346225,1.07631245655786,1.02146530240076,1.09452778035153,1.34113989355880,1.43205287309011,1.38822421350706,0.946444310489611,0.851806959804173,1.26740438348473,1.35910018311581,1.16541166288708,1.04403985888677,1.09755753043282,0.717497185089020,0.900462523769340,0.589735020408697,0.895215220390568,0.461073904340639,0.490659499837508,0.971471049530730,0.581231909177578,0.795040120759656,0.846620853367826,0.879909452737729,0.685166371280536,0.519168182761837,0.467546361037355,0.731750495475661,0.971041546646771,0.729332698429684,0.585474257006027,0.811601378005528,2
